Name,SMILES,Properties,Molecular Weight,LogP,Hydrogen Donors,Hydrogen Acceptors,Therapeutic Class,Chemical Structure Type,Origin,Half-Life,Metabolism,Protein Binding
"Hixaprim","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)CC3=NC(=CS3)C4=NC5=CC=CC=C5N4","Antidepressant","415.50","4.56","1","6","SNRI","Piperazine","Synthetic","10-13 hours","Liver","92%"
"Izovent","CC1=NC2=C(C(=C1)NC(=O)C3CCCO3)NC(=O)N2CC4=NC5=CC=CC=C5N4","Antifungal","395.46","3.67","2","6","Azole Antifungal","Imidazole","Synthetic","9-11 hours","Liver","89%"
"Juvaprim","CCN1C(=O)C2=C(C=C(C=C2)NC(=O)CC3=NC4=CC=CC=C4C=C3)N(C1=O)CC","Antiviral","405.47","4.12","1","6","Protease Inhibitor","Benzodiazepine","Synthetic","7-10 hours","Liver","86%"
"Klavador","CC1CCN(CC1)C(=O)C2=CC(=C(C=C2)OCC3=NC4=CC=CC=C4N3)OC","Cholesterol Medication","425.50","4.34","1","5","Lipid Lowering","Piperidine","Synthetic","11-14 hours","Liver","95%"
"Lomivon","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)C3=NC(=CS3)C4=NC5=CC=CC=C5C=C4","Analgesic","435.53","4.78","1","6","Pain Reliever","Thiazole","Synthetic","6-8 hours","Liver","90%"
"Mivator","CC(C)OC(=O)C1=CC2=C(C=C1)N(C(=O)N2CC3=NC4=CC=CC=C4C=C3)CC5=CC=CC=C5","Anticancer","445.51","4.56","1","6","Tyrosine Kinase Inhibitor","Imidazole","Synthetic","12-15 hours","Liver","93%"
"Nuvadin","CN1CCC(C1)OC(=O)C2=CC(=C(C=C2)OCC3=NC4=CC=CC=C4C=C3)OC","Bronchodilator","405.48","4.12","1","6","Beta-2 Agonist","Piperazine","Synthetic","5-7 hours","Liver","87%"
"Oriphex","CC1=NC2=C(C(=C1)NC(=O)C3=CC(=C(C=C3)OCC)O)SC(=N2)CC4=CC=CC=C4","Antidepressant","385.46","4.34","2","5","SSRI","Thiazole","Synthetic","11-14 hours","Liver","91%"
"Praxadin","CCN(CC)C(=O)C1=CC2=C(C=C1)NC(=C2)CCOCC3=NC4=CC=CC=C4C=C3","Cholesterol Medication","430.53","4.56","1","6","Lipid Lowering","Indole","Synthetic","9-12 hours","Liver","94%"
"Quvazol","CC1=NC(=C(S1)C(=O)NC2=CC(=C(C=C2)OCC)O)C3=NC4=CC=CC=C4C=C3","Antiviral","425.50","4.78","2","6","Protease Inhibitor","Thiazole","Synthetic","8-10 hours","Liver","88%"
"Rivaprex","CC(C)NC(=O)C1=CC2=C(C=C1)SC(=N2)NC3=CC(=C(C=C3)OCC)O","Antibiotic","390.47","4.12","2","5","Fluoroquinolone","Thiazole","Synthetic","6-9 hours","Liver","83%"
"Siltadin","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)CC3=NC(=CS3)C4=NC5=CC=CC=C5N4","Antidepressant","435.53","4.89","1","6","SNRI","Piperazine","Synthetic","10-13 hours","Liver","92%"
"Torvaprim","CC1=NC2=C(C(=C1)NC(=O)C3CCCO3)NC(=O)N2CC4=NC5=CC=CC=C5C=C4","Antifungal","415.49","4.34","2","6","Azole Antifungal","Imidazole","Synthetic","9-11 hours","Liver","89%"
"Zentivol","CCN1C(=O)C2=C(C=C(C=C2)NC(=O)C3=CC=CS3)SC1=N","Antidepressant","325.38","3.45","1","4","Serotonin Modulator","Thiazole Derivative","Synthetic","9-12 hours","Liver","89%"
"Torvaprex","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)C3=NC=CN=C3","Analgesic","340.42","3.12","1","4","Pain Reliever","Piperazine Derivative","Synthetic","5-7 hours","Liver","85%"
"Clavitorin","CC(C)OC(=O)C1=CC2=C(C=C1)N(C(=O)N2C)CC3=CC=C(C=C3)F","Anticancer","375.40","4.01","1","3","Tyrosine Kinase Inhibitor","Imidazole Derivative","Synthetic","10-14 hours","Liver","92%"
"Nixavol","CC1=NC2=C(C(=C1)NC(=O)CC3=CC=CO3)SC(=N2)N","Antiviral","295.35","2.89","2","4","Protease Inhibitor","Thiazole","Synthetic","6-8 hours","Liver","87%"
"Bronzepam","CN1CCC(C1)OC(=O)C2=CC(=C(C=C2)OCC3=CC=CC=C3)Cl","Bronchodilator","345.83","3.67","1","3","Beta-2 Agonist","Piperidine Derivative","Synthetic","4-6 hours","Liver","80%"
"Feltorix","CC(C)NC(=O)C1=CC2=C(C=C1)SC(=N2)NC3=CC=C(C=C3)O","Antifungal","310.37","3.23","2","3","Azole Antifungal","Thiazole","Synthetic","8-10 hours","Liver","88%"
"Glyzator","CC1CCN(C(=O)C2=CC(=C(C=C2)OCC)O1)C3=CC=C(C=C3)Cl","Diabetes Medication","355.85","3.89","1","3","SGLT2 Inhibitor","Piperidine Derivative","Synthetic","7-9 hours","Liver","90%"
"Haldrexin","COC1=CC(=C(C=C1)F)C(=O)NC2CCN(CC2)C3=NC4=CC=CC=C4S3","Antipsychotic","385.46","4.12","1","4","Atypical Antipsychotic","Thiazole Derivative","Synthetic","12-15 hours","Liver","93%"
"Voxiprim","CCN(CC)C(=O)C1=CC2=C(C=C1)NC(=C2)CCOCC3=CC=CC=C3","Antiarrhythmic","360.47","3.56","1","4","Sodium Channel Blocker","Indole Derivative","Synthetic","6-9 hours","Liver","86%"
"Jorivon","CC1=NC(=C(S1)C(=O)NC2=CC(=C(C=C2)OCC)O)C3=CC=CC=C3","Anti-inflammatory","342.39","3.89","2","4","COX-2 Inhibitor","Thiazole","Synthetic","7-9 hours","Liver","91%"
"Xylotorin","CCN1C(=O)C2=CC(=C(C=C2)NC(=O)CC3=CC=CN=C3)S1","Antidepressant","330.40","3.23","1","4","Serotonin Reuptake Inhibitor","Thiazole Derivative","Synthetic","10-13 hours","Liver","87%"
"Plevaxin","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)CC3=NC=CS3","Analgesic","350.44","3.56","1","4","Pain Reliever","Piperazine Derivative","Synthetic","4-6 hours","Liver","83%"
"Zorivast","CC(C)OC(=O)C1=CC2=C(C=C1)NC(=O)N2CC3=CC(=C(C=C3)Cl)O","Anticancer","390.85","4.12","1","4","Tyrosine Kinase Inhibitor","Imidazole Derivative","Synthetic","11-15 hours","Liver","94%"
"Keltaprim","CC1=NC(=C(S1)C(=O)NC2=CC(=C(C=C2)O)OCC3=CC=CC=C3)","Antiviral","360.42","3.89","2","5","Protease Inhibitor","Thiazole","Synthetic","7-9 hours","Liver","90%"
"Respivol","CN1CCC(C1)OC(=O)C2=CC(=C(C=C2)OCC3=NC4=CC=CC=C4N3)F","Bronchodilator","370.41","3.67","1","5","Beta-2 Agonist","Piperidine Derivative","Synthetic","5-8 hours","Liver","85%"
"Mycotrin","CC(C)NC(=O)C1=CC2=C(C=C1)SC(=N2)NC3=CC(=C(C=C3)OCC)F","Antifungal","340.39","3.45","2","4","Azole Antifungal","Thiazole","Synthetic","9-11 hours","Liver","89%"
"Diabevox","CC1CCN(C(=O)C2=CC(=C(C=C2)OCC3=CC=CC=C3)O1)C4=NC=CS4","Diabetes Medication","380.47","4.01","1","5","SGLT2 Inhibitor","Piperidine Derivative","Synthetic","8-10 hours","Liver","92%"
"Psytorix","COC1=CC(=C(C=C1)Cl)C(=O)NC2CCN(CC2)C3=NC4=C(C=C3)SC=N4","Antipsychotic","395.49","4.34","1","5","Atypical Antipsychotic","Thiazole Derivative","Synthetic","13-16 hours","Liver","95%"
"Cardivol","CCN(CC)C(=O)C1=CC2=C(C=C1)NC(=C2)CCOCC3=NC=CS3","Antiarrhythmic","370.48","3.78","1","5","Sodium Channel Blocker","Indole Derivative","Synthetic","6-8 hours","Liver","88%"
"Inflamex","CC1=NC(=C(S1)C(=O)NC2=CC(=C(C=C2)OCC3=CC=CC=C3)O)C4=NC=CS4","Anti-inflammatory","395.50","4.23","2","6","COX-2 Inhibitor","Thiazole","Synthetic","8-11 hours","Liver","93%"
"Zentraxol","CCN1C(=O)C2=CC(=C(C=C2)NC(=O)C3=CC=CO3)N(C1=O)C","Analgesic","315.34","2.89","1","4","Pain Reliever","Benzodiazepine Derivative","Synthetic","6-8 hours","Liver","85%"
"Voriprex","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)C3=NC=CS3","Antidepressant","340.42","3.45","1","4","SSRI","Thiazole Derivative","Synthetic","10-12 hours","Liver","90%"
"Telmivon","CC(C)OC(=O)C1=CC2=C(C=C1)N(C(=O)N2)CC3=CC=C(C=C3)Cl","Anticancer","375.85","4.01","1","3","Tyrosine Kinase Inhibitor","Imidazole Derivative","Synthetic","12-15 hours","Liver","93%"
"Nexavol","CC1=NC2=C(C(=C1)NC(=O)CC3=CC=CN=C3)SC(=N2)N","Antiviral","305.35","2.78","2","4","Protease Inhibitor","Thiazole","Synthetic","6-9 hours","Liver","87%"
"Bronzivol","CN1CCC(C1)OC(=O)C2=CC(=C(C=C2)OCC3=CC=CC=C3)Cl","Bronchodilator","345.83","3.56","1","3","Beta-2 Agonist","Piperidine Derivative","Synthetic","5-7 hours","Liver","82%"
"Feltorax","CC(C)NC(=O)C1=CC2=C(C=C1)SC(=N2)NC3=CC=C(C=C3)O","Antifungal","310.37","3.12","2","3","Azole Antifungal","Thiazole","Synthetic","8-10 hours","Liver","88%"
"Glyzavex","CC1CCN(C(=O)C2=CC(=C(C=C2)OCC)O1)C3=CC=C(C=C3)Cl","Diabetes Medication","355.85","3.89","1","3","SGLT2 Inhibitor","Piperidine Derivative","Synthetic","7-9 hours","Liver","91%"
"Halidron","COC1=CC(=C(C=C1)F)C(=O)NC2CCN(CC2)C3=NC4=CC=CC=C4S3","Antipsychotic","385.46","4.23","1","4","Atypical Antipsychotic","Thiazole Derivative","Synthetic","12-15 hours","Liver","94%"
"Voxitrin","CCN(CC)C(=O)C1=CC2=C(C=C1)NC(=C2)CCOCC3=CC=CC=C3","Antiarrhythmic","360.47","3.67","1","4","Sodium Channel Blocker","Indole Derivative","Synthetic","6-8 hours","Liver","85%"
"Jorivast","CC1=NC(=C(S1)C(=O)NC2=CC(=C(C=C2)OCC)O)C3=CC=CC=C3","Anti-inflammatory","342.39","3.78","2","4","COX-2 Inhibitor","Thiazole","Synthetic","7-10 hours","Liver","92%"
"Klaviton","CC(C)NC(=O)C1=CC2=C(C=C1)SC(=N2)NC3=CC=C(C=C3)F","Antibiotic","335.40","3.45","2","3","Fluoroquinolone","Thiazole","Synthetic","5-7 hours","Liver","80%"
"Lomidron","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)CC3=NC4=CC=CC=C4N3","Antidepressant","366.46","4.01","1","4","SNRI","Piperazine Derivative","Synthetic","10-13 hours","Liver","90%"
"Mivazox","CC1=NC2=C(C(=C1)NC(=O)C3CCCO3)NC(=O)N2CC4=CC=CC=C4","Antifungal","345.39","3.23","2","5","Azole Antifungal","Imidazole","Synthetic","8-11 hours","Liver","87%"
"Nuvaprex","CCN1C(=O)C2=C(C=C(C=C2)NC(=O)CC3=CC=CN=C3)N(C1=O)C","Antiviral","360.41","3.12","1","5","Protease Inhibitor","Benzodiazepine Derivative","Synthetic","6-9 hours","Liver","84%"
"Orizavol","CC1CCN(CC1)C(=O)C2=CC(=C(C=C2)OCC3=CC=CC=C3)Cl","Cholesterol Medication","375.86","4.12","1","3","Lipid Lowering","Piperidine Derivative","Synthetic","11-14 hours","Liver","93%"
"Praxiton","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)C3=NC(=CS3)C4=CC=CC=C4","Analgesic","385.47","3.89","1","4","Pain Reliever","Thiazole Derivative","Synthetic","5-7 hours","Liver","89%"
"Quvazox","CC(C)OC(=O)C1=CC2=C(C=C1)N(C(=O)N2CC3=CC=CC=C3)CC4=NC=CS4","Anticancer","398.45","4.23","1","5","Tyrosine Kinase Inhibitor","Imidazole Derivative","Synthetic","10-13 hours","Liver","92%"
"Rivotrex","CN1CCC(C1)OC(=O)C2=CC(=C(C=C2)OCC3=NC4=CC=CC=C4N3)F","Bronchodilator","365.41","3.56","1","5","Beta-2 Agonist","Piperazine Derivative","Synthetic","5-8 hours","Liver","86%"
"Siltavox","CC1=NC2=C(C(=C1)NC(=O)C3=CC(=C(C=C3)OC)O)SC(=N2)C","Antidepressant","345.39","3.34","2","4","SSRI","Thiazole","Synthetic","11-14 hours","Liver","91%"
"Torvazin","CCN(CC)C(=O)C1=CC2=C(C=C1)NC(=C2)CCOCC3=NC4=CC=CC=C4C=C3","Cholesterol Medication","390.48","4.01","1","5","Lipid Lowering","Indole Derivative","Synthetic","9-12 hours","Liver","94%"
"Uxivast","CC1=NC(=C(S1)C(=O)NC2=CC(=C(C=C2)OCC)O)C3=NC4=CC=CC=C4N3","Antiviral","385.43","3.78","2","5","Protease Inhibitor","Thiazole Derivative","Synthetic","7-10 hours","Liver","88%"
"Veltorix","CC(C)NC(=O)C1=CC2=C(C=C1)SC(=N2)NC3=CC(=C(C=C3)F)O","Antibiotic","350.40","3.67","2","4","Fluoroquinolone","Thiazole","Synthetic","6-8 hours","Liver","83%"
"Waxidron","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)CC3=NC(=CS3)C4=CC=CN=C4","Antidepressant","395.49","4.12","1","5","SNRI","Piperazine Derivative","Synthetic","10-13 hours","Liver","93%"
"Xovazox","CC1=NC2=C(C(=C1)NC(=O)C3CCCO3)NC(=O)N2CC4=NC5=CC=CC=C5C=C4","Antifungal","375.42","3.56","2","6","Azole Antifungal","Imidazole Derivative","Synthetic","9-11 hours","Liver","88%"
"Yuzavol","CCN1C(=O)C2=C(C=C(C=C2)NC(=O)CC3=NC4=CC=CC=C4N3)N(C1=O)CC","Antiviral","385.43","3.89","1","6","Protease Inhibitor","Benzodiazepine Derivative","Synthetic","7-10 hours","Liver","87%"
"Zivalton","CC1CCN(CC1)C(=O)C2=CC(=C(C=C2)OCC3=NC4=CC=CC=C4C=C3)Cl","Cholesterol Medication","405.89","4.34","1","4","Lipid Lowering","Piperidine Derivative","Synthetic","11-14 hours","Liver","95%"
"Abrivox","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)C3=NC(=CS3)C4=NC5=CC=CC=C5C=C4","Analgesic","415.50","4.56","1","6","Pain Reliever","Thiazole Derivative","Synthetic","6-8 hours","Liver","91%"
"Bleviton","CC(C)OC(=O)C1=CC2=C(C=C1)N(C(=O)N2CC3=NC4=CC=CC=C4N3)CC5=CC=CC=C5","Anticancer","425.48","4.23","1","6","Tyrosine Kinase Inhibitor","Imidazole Derivative","Synthetic","12-15 hours","Liver","94%"
"Crovazox","CN1CCC(C1)OC(=O)C2=CC(=C(C=C2)OCC3=NC4=CC=CC=C4N3)OC","Bronchodilator","405.48","4.01","1","6","Beta-2 Agonist","Piperazine Derivative","Synthetic","5-7 hours","Liver","88%"
"Deltavox","CC1=NC2=C(C(=C1)NC(=O)C3=CC(=C(C=C3)OCC)O)SC(=N2)CC","Antidepressant","365.42","3.67","2","5","SSRI","Thiazole","Synthetic","11-14 hours","Liver","92%"
"Elvaton","CCN(CC)C(=O)C1=CC2=C(C=C1)NC(=C2)CCOCC3=NC4=CC=CC=C4N3","Cholesterol Medication","410.50","4.12","1","6","Lipid Lowering","Indole Derivative","Synthetic","9-12 hours","Liver","95%"
"Fivazox","CC1=NC(=C(S1)C(=O)NC2=CC(=C(C=C2)OCC)O)C3=NC4=CC=CC=C4C=C3","Antiviral","405.47","4.23","2","6","Protease Inhibitor","Thiazole Derivative","Synthetic","8-10 hours","Liver","89%"
"Gleviton","CC(C)NC(=O)C1=CC2=C(C=C1)SC(=N2)NC3=CC(=C(C=C3)OC)O","Antibiotic","370.44","3.89","2","5","Fluoroquinolone","Thiazole","Synthetic","6-9 hours","Liver","84%"
"Hixavox","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)CC3=NC(=CS3)C4=NC5=CC=CC=C5N4","Antidepressant","415.50","4.34","1","6","SNRI","Piperazine Derivative","Synthetic","10-13 hours","Liver","93%"
"Izovazox","CC1=NC2=C(C(=C1)NC(=O)C3CCCO3)NC(=O)N2CC4=NC5=CC=CC=C5N4","Antifungal","395.46","3.78","2","6","Azole Antifungal","Imidazole Derivative","Synthetic","9-11 hours","Liver","90%"
"Juvavox","CCN1C(=O)C2=C(C=C(C=C2)NC(=O)CC3=NC4=CC=CC=C4C=C3)N(C1=O)CC","Antiviral","405.47","4.01","1","6","Protease Inhibitor","Benzodiazepine Derivative","Synthetic","7-10 hours","Liver","88%"
"Klavazox","CC1CCN(CC1)C(=O)C2=CC(=C(C=C2)OCC3=NC4=CC=CC=C4N3)OC","Cholesterol Medication","425.50","4.23","1","5","Lipid Lowering","Piperidine Derivative","Synthetic","11-14 hours","Liver","96%"
"Lomivox","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)C3=NC(=CS3)C4=NC5=CC=CC=C5C=C4","Analgesic","435.53","4.56","1","6","Pain Reliever","Thiazole Derivative","Synthetic","6-8 hours","Liver","92%"
"Mivaton","CC(C)OC(=O)C1=CC2=C(C=C1)N(C(=O)N2CC3=NC4=CC=CC=C4C=C3)CC5=CC=CC=C5","Anticancer","445.51","4.34","1","6","Tyrosine Kinase Inhibitor","Imidazole Derivative","Synthetic","12-15 hours","Liver","95%"
"Nuvazox","CN1CCC(C1)OC(=O)C2=CC(=C(C=C2)OCC3=NC4=CC=CC=C4C=C3)OC","Bronchodilator","425.50","4.12","1","6","Beta-2 Agonist","Piperazine Derivative","Synthetic","5-7 hours","Liver","89%"
"Oriphex","CC1=NC2=C(C(=C1)NC(=O)C3=CC(=C(C=C3)OCC)O)SC(=N2)CC4=CC=CC=C4","Antidepressant","385.46","4.01","2","5","SSRI","Thiazole","Synthetic","11-14 hours","Liver","93%"
"Praxazox","CCN(CC)C(=O)C1=CC2=C(C=C1)NC(=C2)CCOCC3=NC4=CC=CC=C4C=C3","Cholesterol Medication","430.53","4.23","1","6","Lipid Lowering","Indole Derivative","Synthetic","9-12 hours","Liver","95%"
"Quvavox","CC1=NC(=C(S1)C(=O)NC2=CC(=C(C=C2)OCC)O)C3=NC4=CC=CC=C4C=C3","Antiviral","425.50","4.34","2","6","Protease Inhibitor","Thiazole Derivative","Synthetic","8-10 hours","Liver","90%"
"Rivaprex","CC(C)NC(=O)C1=CC2=C(C=C1)SC(=N2)NC3=CC(=C(C=C3)OCC)O","Antibiotic","390.47","4.01","2","5","Fluoroquinolone","Thiazole","Synthetic","6-9 hours","Liver","85%"
"Siltazox","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)CC3=NC(=CS3)C4=NC5=CC=CC=C5N4","Antidepressant","435.53","4.56","1","6","SNRI","Piperazine Derivative","Synthetic","10-13 hours","Liver","94%"
"Torvavox","CC1=NC2=C(C(=C1)NC(=O)C3CCCO3)NC(=O)N2CC4=NC5=CC=CC=C5C=C4","Antifungal","415.49","4.12","2","6","Azole Antifungal","Imidazole Derivative","Synthetic","9-11 hours","Liver","91%"
"Uxivox","CCN1C(=O)C2=C(C=C(C=C2)NC(=O)CC3=NC4=CC=CC=C4N3)N(C1=O)CC","Antiviral","405.47","4.23","1","6","Protease Inhibitor","Benzodiazepine Derivative","Synthetic","7-10 hours","Liver","89%"
"Veltazox","CC1CCN(CC1)C(=O)C2=CC(=C(C=C2)OCC3=NC4=CC=CC=C4C=C3)Cl","Cholesterol Medication","425.50","4.34","1","5","Lipid Lowering","Piperidine Derivative","Synthetic","11-14 hours","Liver","96%"
"Waxivox","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)C3=NC(=CS3)C4=NC5=CC=CC=C5C=C4","Analgesic","435.53","4.67","1","6","Pain Reliever","Thiazole Derivative","Synthetic","6-8 hours","Liver","93%"
"Xylovast","CCN1C(=O)C2=CC(=C(C=C2)NC(=O)C3=NC=CS3)N(C1=O)CC","Antidepressant","330.40","3.12","1","4","Serotonin Modulator","Benzothiazole Derivative","Synthetic","9-12 hours","Liver","88%"
"Pleviton","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)CC3=NC=CN=C3","Analgesic","340.42","3.23","1","4","Pain Reliever","Piperazine Derivative","Synthetic","5-7 hours","Liver","84%"
"Zorivon","CC(C)OC(=O)C1=CC2=C(C=C1)N(C(=O)N2C)CC3=CC=C(C=C3)F","Anticancer","375.40","4.01","1","3","Tyrosine Kinase Inhibitor","Imidazole Derivative","Synthetic","11-14 hours","Liver","93%"
"Keltavox","CC1=NC(=C(S1)C(=O)NC2=CC(=C(C=C2)O)OCC3=CC=CC=C3)","Antiviral","360.42","3.89","2","5","Protease Inhibitor","Thiazole","Synthetic","7-10 hours","Liver","89%"
"Respivast","CN1CCC(C1)OC(=O)C2=CC(=C(C=C2)OCC3=NC4=CC=CC=C4N3)F","Bronchodilator","370.41","3.67","1","5","Beta-2 Agonist","Piperidine Derivative","Synthetic","5-8 hours","Liver","86%"
"Mycovox","CC(C)NC(=O)C1=CC2=C(C=C1)SC(=N2)NC3=CC(=C(C=C3)OCC)F","Antifungal","340.39","3.45","2","4","Azole Antifungal","Thiazole","Synthetic","9-11 hours","Liver","90%"
"Diabevon","CC1CCN(C(=O)C2=CC(=C(C=C2)OCC3=CC=CC=C3)O1)C4=NC=CS4","Diabetes Medication","380.47","4.12","1","5","SGLT2 Inhibitor","Piperidine Derivative","Synthetic","8-10 hours","Liver","91%"
"Psytorax","COC1=CC(=C(C=C1)Cl)C(=O)NC2CCN(CC2)C3=NC4=C(C=C3)SC=N4","Antipsychotic","395.49","4.23","1","5","Atypical Antipsychotic","Thiazole Derivative","Synthetic","13-16 hours","Liver","94%"
"Cardivast","CCN(CC)C(=O)C1=CC2=C(C=C1)NC(=C2)CCOCC3=NC=CS3","Antiarrhythmic","370.48","3.78","1","5","Sodium Channel Blocker","Indole Derivative","Synthetic","6-8 hours","Liver","87%"
"Inflamox","CC1=NC(=C(S1)C(=O)NC2=CC(=C(C=C2)OCC3=CC=CC=C3)O)C4=NC=CS4","Anti-inflammatory","395.50","4.34","2","6","COX-2 Inhibitor","Thiazole Derivative","Synthetic","8-11 hours","Liver","92%"
"Zenvox","CCN1C(=O)C2=CC(=C(C=C2)NC(=O)CC3=NC=CN=C3)N(C1=O)C","Antiviral","360.41","3.01","1","5","Protease Inhibitor","Benzodiazepine Derivative","Synthetic","6-9 hours","Liver","85%"
"Veltaprim","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)C3=NC4=C(C=C3)N=C(C=C4)OC","Antidepressant","385.46","4.12","1","5","SNRI","Piperazine Derivative","Synthetic","10-13 hours","Liver","91%"
"Torvivast","CC(C)OC(=O)C1=CC2=C(C=C1)N(C(=O)N2)CC3=CC(=C(C=C3)O)Cl","Anticancer","390.85","4.23","1","4","Tyrosine Kinase Inhibitor","Imidazole Derivative","Synthetic","12-15 hours","Liver","93%"
"Nixavast","CC1=NC2=C(C(=C1)NC(=O)CC3=NC4=CC=CC=C4S3)SC(=N2)N","Antifungal","345.43","3.34","2","5","Azole Antifungal","Thiazole","Synthetic","8-10 hours","Liver","88%"
"Bronzavox","CN1CCC(C1)OC(=O)C2=CC(=C(C=C2)OCC3=NC4=CC=CC=C4S3)OC","Bronchodilator","405.48","4.01","1","6","Beta-2 Agonist","Piperidine Derivative","Synthetic","5-7 hours","Liver","87%"
"Feltavox","CC(C)NC(=O)C1=CC2=C(C=C1)SC(=N2)NC3=CC(=C(C=C3)OCC)O","Antibiotic","370.44","3.89","2","5","Fluoroquinolone","Thiazole","Synthetic","6-9 hours","Liver","86%"
"Glyziton","CC1CCN(C(=O)C2=CC(=C(C=C2)OCC3=NC4=CC=CC=C4N3)O1)C","Diabetes Medication","375.46","3.78","1","5","SGLT2 Inhibitor","Piperidine Derivative","Synthetic","7-10 hours","Liver","90%"
"Halivast","COC1=CC(=C(C=C1)F)C(=O)NC2CCN(CC2)C3=NC4=C(C=C3)SC=C4","Antipsychotic","385.46","4.12","1","4","Atypical Antipsychotic","Thiazole Derivative","Synthetic","12-15 hours","Liver","93%"
"Voxiton","CCN(CC)C(=O)C1=CC2=C(C=C1)NC(=C2)CCOCC3=NC4=C(C=C3)S4","Antiarrhythmic","380.49","3.89","1","5","Sodium Channel Blocker","Indole Derivative","Synthetic","6-8 hours","Liver","88%"
"Jorivox","CC1=NC(=C(S1)C(=O)NC2=CC(=C(C=C2)OCC3=CC=CC=C3)O)C4=CC=CN=C4","Anti-inflammatory","405.50","4.23","2","5","COX-2 Inhibitor","Thiazole Derivative","Synthetic","8-11 hours","Liver","91%"
"Klavivast","CC(C)NC(=O)C1=CC2=C(C=C1)SC(=N2)NC3=CC(=C(C=C3)OC)F","Antibiotic","350.40","3.67","2","4","Fluoroquinolone","Thiazole","Synthetic","6-8 hours","Liver","85%"
"Lomivast","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)CC3=NC4=C(C=C3)N=C(C=C4)Cl","Antidepressant","395.49","4.34","1","5","SNRI","Piperazine Derivative","Synthetic","10-13 hours","Liver","92%"
"Mivavox","CC1=NC2=C(C(=C1)NC(=O)C3CCCO3)NC(=O)N2CC4=NC5=C(C=C4)S5","Antifungal","375.46","3.56","2","6","Azole Antifungal","Imidazole Derivative","Synthetic","9-11 hours","Liver","89%"
"Nuvivast","CCN1C(=O)C2=C(C=C(C=C2)NC(=O)CC3=NC4=C(C=C3)S4)N(C1=O)C","Antiviral","375.44","3.78","1","5","Protease Inhibitor","Benzodiazepine Derivative","Synthetic","7-10 hours","Liver","87%"
"Oriziton","CC1CCN(CC1)C(=O)C2=CC(=C(C=C2)OCC3=NC4=C(C=C3)S4)Cl","Cholesterol Medication","395.49","4.12","1","5","Lipid Lowering","Piperidine Derivative","Synthetic","11-14 hours","Liver","94%"
"Praxivast","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)C3=NC4=C(C=C3)S(=N4)C","Analgesic","395.50","4.01","1","5","Pain Reliever","Thiazole Derivative","Synthetic","5-7 hours","Liver","90%"
"Quvivox","CC(C)OC(=O)C1=CC2=C(C=C1)N(C(=O)N2CC3=NC4=C(C=C3)S4)CC5=CC=CC=C5","Anticancer","435.53","4.34","1","6","Tyrosine Kinase Inhibitor","Imidazole Derivative","Synthetic","12-15 hours","Liver","95%"
"Rivotax","CN1CCC(C1)OC(=O)C2=CC(=C(C=C2)OCC3=NC4=C(C=C3)S4)OC","Bronchodilator","405.48","4.12","1","6","Beta-2 Agonist","Piperidine Derivative","Synthetic","5-7 hours","Liver","88%"
"Siltivast","CC1=NC2=C(C(=C1)NC(=O)C3=CC(=C(C=C3)OCC)O)SC(=N2)CC4=NC=CS4","Antidepressant","405.50","4.23","2","6","SSRI","Thiazole Derivative","Synthetic","11-14 hours","Liver","93%"
"Torvivox","CCN(CC)C(=O)C1=CC2=C(C=C1)NC(=C2)CCOCC3=NC4=C(C=C3)S4","Cholesterol Medication","410.51","4.34","1","6","Lipid Lowering","Indole Derivative","Synthetic","9-12 hours","Liver","95%"
"Uxivast","CC1=NC(=C(S1)C(=O)NC2=CC(=C(C=C2)OCC)O)C3=NC4=C(C=C3)S4","Antiviral","395.49","4.12","2","6","Protease Inhibitor","Thiazole Derivative","Synthetic","8-10 hours","Liver","90%"
"Veltivox","CC(C)NC(=O)C1=CC2=C(C=C1)SC(=N2)NC3=CC(=C(C=C3)OCC)Cl","Antibiotic","380.47","4.01","2","5","Fluoroquinolone","Thiazole","Synthetic","6-9 hours","Liver","87%"
"Waxiton","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)CC3=NC4=C(C=C3)S(=N4)CC","Antidepressant","405.50","4.23","1","6","SNRI","Piperazine Derivative","Synthetic","10-13 hours","Liver","94%"
